bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en,
life_shoppingmallbuilding_noon,,MusMus-BGM-103,,,,,,,ผมมารอที่หน้าห้างสรรพสินค้าก่อนถึงเวลานัด 10 นาทีตามธรรมเนียมปฏิบัติ,,,,"I arrived at the department store 10 minutes before our scheduled meeting time, as is customary.",
,,,,,,,,,เมื่อลองสังเกตรอบตัวก็พบคู่รักหนุ่มสาวเต็มไปหมด,,,,"When I looked around, I noticed young couples everywhere.",
,,,,,,,,,ที่นี่เต็มไปด้วยคู่รักที่ใส่เสื้อคู่หรือเสื้อลายตัวละครจากเกม Seal Impact,,,,The place was filled with couples wearing matching shirts or shirts with characters from the game Seal Impact.,
,,,,,,,,,บรรยากาศในวันนี้แทบไม่แตกต่างจากวันวาเลนไทน์เลย,,,,The atmosphere today was hardly different from Valentine's Day.,
,,,,,,,,,,,,,,
,,,,,,,,,………,,,,......,
,,,,,,,,,,,,,,
,,MusMus-BGM-79,,,,,,,10 นาทีผ่านไป,,,,10 minutes passed.,
,,,,,,,,,ผมสังเกตว่าคู่รักแต่ละคู่ค่อยๆ ทยอยเดินเข้าห้างฯ จนเหลือเพียงผมกับผู้ชายอีกคน,,,,"I noticed that the couples gradually started entering the mall, leaving only me and another man outside.",
,,,,,,,,,เรามองหน้ากัน ต่างคนต่างสงสัยว่า ‘โดนเท’ หรือเปล่า,,,,"We looked at each other, both wondering if we had been stood up.",
,,,,,,,,,ขอร้องล่ะรุ่นพี่มายะ อย่าทิ้งผมนะ,,,,"Please, senior Maya, don't abandon me.",
,,,,,,,,,ผมยังไม่อยากถูกมองว่าเป็นหมาป่าเดียวดายในอีเว้นท์คู่รักหรอกนะ,,,,I don't want to be seen as a lone wolf at this couples' event.,
,,,,,,,,,,,,,,
,,,,,,,,,………,,,,......,
,,,,,,,,,,,,,,
,,,,,,,,,20 นาทีผ่านไป,,,,20 minutes passed.,
,,,,,,,,yuma,นานจัง อย่าบอกนะว่ารุ่นพี่มายะจะเทผมจริงๆ,,,,It's taking so long. Don't tell me senior Maya is really going to stand me up.,
,,,,,,,,,ขณะที่ผมกำลังพะว้าพะวังว่ารุ่นพี่มายะลืมเรื่องการเดทหรือไม่,,,,"While I was anxiously wondering if senior Maya had forgotten about our date,",
,,,,,,,,,ทันใดนั้นรุ่นพี่มายะก็ตะโกนเรียกชื่อผม,,,,"Suddenly, senior Maya called out my name.",
,,MusMus-BGM-34,,maya_c2,,hurt,,maya,ยูคุง~!,,maya_2_9_001,,Yu-kun~!,
,,,1,maya_c2,,hurt,,maya,ขอโทษที มาช้าไปหน่อย,,maya_2_9_002,,Sorry I'm late.,
,,,,,,,,yuma,ทั้งๆ ที่เป็นคนนัดเวลาเอง ทำไมถึงมาช้าล่ะครับ,,,,"Even though you set the time yourself, why are you late?",
